,"[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,ifrs-full_FeeAndCommissionExpense,수수료비용,Fee and commission expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,순수수료손익,수수료비용,,-391606000000.0,-375277000000.0,-333307000000.0,-345205000000.0
10,dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익금융상품 관련 순손익,Gain (loss) from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익금융상품 관련 순손익,,,448656000000.0,828667000000.0,205840000000.0,505049000000.0
11,entity00149646_udf_IS_202434204128176OfStatementOfComprehensiveIncomeAbstract,당기손익인식지정금융상품 관련 순손익,"Gain (loss) financial instruments at fair value through profit or loss, designated upon initial recognition or subsequently",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기손익인식지정금융상품 관련 순손익,,,-75719000000.0,-63052000000.0,22810000000.0,-15450000000.0
12,dart_GainLossFromDerivativesHeldForHedging,위험회피회계 관련 순손익,Gain (loss) from derivatives held for hedging,ifrs-full:StatementOfComprehensiveIncomeAbstract,위험회피회계 관련 순손익,,,-133620000000.0,8278000000.0,-84691000000.0,-70296000000.0
13,ifrs-full_GainLossArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,상각후원가금융자산 처분손익,Gain (loss) arising from derecognition of financial assets measured at amortised cost,ifrs-full:StatementOfComprehensiveIncomeAbstract,상각후원가금융자산 처분손익,,,160405000000.0,217036000000.0,187232000000.0,251537000000.0
14,dart_GainLossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익금융자산 관련 순손익,Gain (loss) from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익금융자산 관련 순손익,,,132222000000.0,104694000000.0,57885000000.0,94229000000.0
15,dart_InsuranceRevenueExpense,보험손익,Insurance revenue (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,,,29554000000.0,35342000000.0,30705000000.0,-146559000000.0
16,ifrs-full_InsuranceRevenue,보험수익,Insurance revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험수익,,93466000000.0,83550000000.0,79204000000.0,1264771000000.0
17,ifrs-full_InsuranceServiceExpensesFromInsuranceContractsIssued,보험비용,Insurance service expenses from insurance contracts issued,ifrs-full:StatementOfComprehensiveIncomeAbstract,보험손익,보험비용,,-63912000000.0,-48208000000.0,-48499000000.0,-1411330000000.0
18,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationRecognisedInProfitOrLoss,외환거래손익,foreign exchange gain (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,외환거래손익,,,269583000000.0,132157000000.0,345201000000.0,144430000000.0
19,entity00149646_TotalOperatingIncomeLossOfStatementOfComprehensiveIncomeAbstract,총영업이익,Total operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,총영업이익,,,9195025000000.0,9666658000000.0,8780466000000.0,7522909000000.0
