,"[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
17,ifrs-full_OtherOperatingIncomeExpense,기타영업손익,Other operating income (expense),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,,,146712716595.0,-67075474967.0,101310488092.0,88283181984.0
18,dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산관련수익,Gain from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,기타포괄손익-공정가치측정금융자산관련수익,,1124312431.0,471317284.0,10077036.0,6427749459.0
19,ifrs-full_ReversalAllowanceAccountForCreditLossesOfFinancialAssets,금융자산신용손실환입,"Reversal, allowance account for credit losses of financial assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,금융자산신용손실환입,,64069875114.0,5057641711.0,4747657681.0,5424427105.0
20,dart_OtherOperatingIncome,기타영업수익,Other operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,기타영업수익,,1795082310554.0,1494529714034.0,1906510773476.0,931407144443.0
21,dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산관련비용,Loss from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,기타포괄손익-공정가치측정금융자산관련비용,,-4270997.0,-12525845226.0,-5759805258.0,-316803900.0
22,ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,금융자산신용손실,"Additional allowance recognised in profit or loss, allowance account for credit losses of financial assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,금융자산신용손실,,-80460351486.0,-312509208479.0,-14321672640.0,-5242982662.0
23,dart_OtherOperatingExpense,기타영업비용,Other operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업손익,기타영업비용,,-1633099159021.0,-1242099094291.0,-1789876542203.0,-849416352461.0
24,entity00104856_NetOperaingIncomeBeforeEmployeeCompensationAndBenefitsAndSellingAndAdministrativeExpensesOfStatementOfComprehensiveIncomeAbstract,순영업손익,"Net operating income before employee compensation and benefits, and selling and administrative expenses",ifrs-full:StatementOfComprehensiveIncomeAbstract,순영업손익,,,2239778330289.0,1647003027855.0,1400556045956.0,2241776236378.0
25,dart_PersonalExpense,인건비,Personal expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,인건비,,,-575821792832.0,-481188943795.0,-424298509657.0,-539093162862.0
26,ifrs-full_SellingGeneralAndAdministrativeExpense,판매비와관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-458206068011.0,-424696110226.0,-398163641491.0,-393999781102.0
