corp_code,stock_code,corp_name,year,매출액,영업이익,당기순이익,ROE(%),ROA(%),영업이익률(%),매출총이익률(%),SGA비율(%),매출원가율(%),부채비율(%),자기자본비율(%),이자보상배수(배),자산회전율(배),재고회전율(배),매출채권회전율(배),Capex,Capex/매출(%),FCF,FCF마진(%),영업활동현금흐름,배당금지급,고정자산비율(%)
1261893,63770,케이씨텍,2024,385433971366.0,49783492468.0,52685900043.0,10.93,9.59,12.92,32.12,19.2,67.88,13.97,87.75,261.73,0.7,4.03,12.48,11980566732.0,3.11,87933630789.0,22.81,99914197521.0,3652210980.0,18.31
1261893,63770,케이씨텍,2025,382856574357.0,59965538593.0,53392149112.0,10.07,8.89,15.66,37.22,21.56,62.78,13.25,88.3,468.74,0.64,2.87,14.01,28624647219.0,7.48,31532741701.0,8.24,60157388920.0,5326738470.0,19.46
997812,54450,코미코,2023,307266896921.0,33028446745.0,45511244117.0,15.8,7.66,10.75,37.97,27.18,62.03,106.23,48.49,3.07,0.52,5.49,7.68,33610526077.0,10.94,31555716129.0,10.27,65166242206.0,9940569000.0,47.83
997812,54450,코미코,2024,507138644286.0,112461653836.0,87845843289.0,23.38,10.98,22.18,46.3,24.04,53.7,113.02,46.94,7.38,0.63,6.1,7.69,155807052841.0,30.72,-40178001744.0,-7.92,115629051097.0,6993809400.0,51.66
997812,54450,코미코,2025,604110117086.0,110992280574.0,77237204024.0,20.89,7.5,18.37,43.14,24.5,56.86,178.59,35.9,3.77,0.59,5.86,7.18,219722124141.0,36.37,-181500754425.0,-30.04,38221369716.0,15854315810.0,63.3
1366000,323280,태성,2023,33338955327.0,-685706946.0,-1416588755.0,-4.59,-2.49,-2.06,15.64,17.7,84.36,84.44,54.22,-1.07,0.59,2.54,3.72,4159872322.0,12.48,3724117530.0,11.17,7883989852.0,0.0,44.61
1366000,323280,태성,2024,59212420040.0,6037657086.0,5968175094.0,14.56,7.5,10.2,24.59,14.39,75.41,94.26,51.48,11.1,0.74,5.76,4.75,21257371589.0,35.9,-16770523329.0,-28.32,4486848260.0,0.0,56.98
1366000,323280,태성,2025,37859245040.0,-2506348104.0,-2537179508.0,-1.98,-1.47,-6.62,20.18,26.8,79.82,34.7,74.24,-8.55,0.22,2.47,2.85,40089736286.0,105.89,-49838462284.0,-131.64,-9748725998.0,0.0,53.46
535676,204940,테크윙,2023,133604260260.0,3160487054.0,-11097331447.0,-5.15,-2.28,2.37,37.09,34.72,62.91,125.38,44.37,0.49,0.27,1.03,3.28,53156721996.0,39.79,-32785204732.0,-24.54,20371517264.0,4646261620.0,60.01
535676,204940,테크윙,2024,185507171034.0,23411077264.0,-21970453220.0,-11.67,-4.34,12.62,38.54,25.92,61.46,168.83,37.2,1.46,0.37,1.44,4.21,54009419996.0,29.11,-21287142372.0,-11.48,32722277624.0,4646261620.0,48.15
535676,204940,테크윙,2025,159128398402.0,15837572847.0,8996126448.0,4.24,1.42,9.95,42.23,32.27,57.77,198.75,33.47,1.15,0.25,0.81,3.86,30859754604.0,19.39,-46948808391.0,-29.5,-16089053787.0,4646261620.0,42.16
245472,36620,티씨케이,2023,226652881531.0,66702958305.0,61244566663.0,13.36,12.36,29.43,40.56,11.1,59.44,8.12,92.49,2417.34,0.46,2.04,5.58,46924455088.0,20.7,-25944812415.0,-11.45,20979642673.0,19847500000.0,32.17
245472,36620,티씨케이,2024,275724843444.0,80747924196.0,71994036570.0,13.95,12.78,29.29,37.77,8.45,62.23,9.16,91.61,2525.64,0.49,2.49,5.79,7131703093.0,2.59,67285469421.0,24.4,74417172514.0,14010000000.0,27.05
245472,36620,티씨케이,2025,301334302844.0,83887319363.0,69902724552.0,13.46,12.32,27.84,36.43,8.59,63.57,9.3,91.49,2262.21,0.53,2.25,6.59,4578659307.0,1.52,49532775005.0,16.44,54111434312.0,16461750000.0,25.32
1292291,224110,파두,2023,22470905715.0,-58569439226.0,-56832521397.0,-30.5,-23.32,-260.65,49.38,310.02,50.62,30.76,76.48,-24.64,0.09,0.65,13.9,10926728372.0,48.63,-53091558711.0,-236.27,-42164830339.0,0.0,13.63
1292291,224110,파두,2024,43502744974.0,-95048300908.0,-91508531301.0,-93.43,-68.07,-218.49,13.26,231.75,86.74,37.25,72.86,-27.54,0.32,1.2,3.13,4864622867.0,11.18,-113704944427.0,-261.37,-108840321560.0,0.0,16.07
1292291,224110,파두,2025,92419333233.0,-65469985712.0,-76218175613.0,-385.05,-62.26,-70.84,47.24,118.08,52.76,518.5,16.17,-4.28,0.75,1.18,16.11,3986019991.0,4.31,-7689561860.0,-8.32,-3703541869.0,0.0,12.1
1365825,66800,피에스케이,2023,351863805650.0,54118591422.0,52520188202.0,13.38,10.62,15.38,46.78,31.4,53.22,25.94,79.4,4.96,0.71,1.6,9.26,26124402786.0,7.42,24157067229.0,6.87,50281470015.0,11586685600.0,16.26
1365825,66800,피에스케이,2024,398050977575.0,83924423263.0,79128216285.0,16.77,13.9,21.08,52.66,31.57,47.34,20.7,82.85,7.34,0.7,1.74,6.65,27315322203.0,6.86,39926104990.0,10.03,67241427193.0,5793342800.0,18.04
